PQA Version:,3.0,
***User Measure,039 PSNR (no map),
Peak Signal To Noise Ratio: Root mean squared (rms) error relative to peak white 235 supporting ANSI T1.TR.74-2001.,
Measure Mode:,LuminanceOnly,
Summary Result,Min:,80.000000,Max:,0.000000,
Units,Reference Input:,LSBs,Impaired Input:,LSBs,Result Map:,dB,

Command Parameters,
Measure Type:,Dual,
Reference:,E:\rex\original\concerto_720x576_i420_99frames.yuv,
,Rate:,25.000000,Structure:,planar,Format:,YCbYCr4:2:0 Planar,Width:,720,Height:,576,
Impaired :,E:\rex\recon\concertorecon_720x576_i420_99frames.yuv,
,Rate:,25.000000,Structure:,planar,Format:,YCbYCr4:2:0 Planar,Width:,720,Height:,576,
Reference Frame,Start:,1,End:,93,
Impaired Frame,Start:,1,End:,93,

Decoder:,Reference,
,Status:,Enabled,Decoder Type:,YUV,Frame Count:,99.000000,Multiplier:,1.000000,
,Input Spatial ROI:,Left (px):,0,Right (px):,0,Top (px):,0,Bottom (px):,0,

Decoder:,Impaired,
,Status:,Enabled,Decoder Type:,YUV,Frame Count:,99.000000,Multiplier:,1.000000,
,Input Spatial ROI:,Left (px):,0,Right (px):,0,Top (px):,0,Bottom (px):,0,


***View Model:,
,Optimized for:,accuracy,Match Resolutions:,Enabled,
Reference:,
,Viewing Distance (Screen Heights):,5.000000,Ambient Luminance (cd/m^2):,2.500000,
,Cropping:,Right (px):,1.000000,Left (px):,1.000000,Top (px):,1.000000,Bottom (px):,1.000000,
,Resized Dimensions:,Width (px):,720,Height (lines):,576,
Impaired:,
,Viewing Distance (Screen Heights):,5.000000,Ambient Luminance (cd/m^2):,2.500000,
,Cropping:,Right (px):,1.000000,Left (px):,1.000000,Top (px):,1.000000,Bottom (px):,1.000000,
,Correction:,Horizontal Shift (px):,0.000000,Vertical Shift (px):,0.000000,Horizontal Scale (%):,100.000000,Vertical Scale (%):,100.000000,Gain (%):,100.000000,DC Brightness (LSB's):,0.000000,
,Resized Dimensions:,Width (px):,720,Height (lines):,576,

,Spatial Align Optimized for:,accuracy,
,autoRefHorizCrop:,False,autoRefVertCrop:,False,
,autoImpHorizCrop:,False,autoImpVertCrop:,False,
,autoImpHorizScale:,False,autoImpVertScale:,False,
,autoImpHorizShift:,False,autoImpVertShift:,False,
,autoImpLumaGainAndOffset:,False,
,H Scale and Shift Search Range (%):,5.000000,,V Scale and Shift Search Range (%):,5.000000,

***Summary Information:,
,Save Mode:,Result/Overwrite,
,Results Map View Gain:,2.000000,Results Map View Offset:,16.000000,Display Map As:,Unsigned,
,Psnr Units,dB,
,Warning Level (dB):,40.000000,Error Level (dB):,25.000000,
,Output Spatial ROI:,Left (px):,0,Right (px):,0,Top (px):,0,Bottom (px):,0,
,Output Temporal ROI:,Start Frame:,1,End Frame:,93,

***End Section,

Image Processing Client Pipeline:,decoderClient, viewModelClient, psnrClient, summaryClient, server

***Results File Data:,
,Start Frame:,1.000000,Stop Frame:,93.000000,
,Sample Rate (Samples/sec):,25.000000,Sample Time (seconds):,0.040000,
,Number of Result Samples,93,Result maps:,4,
***End Section,

**************************************************************************************************************,

***Frame<Ref Test>,Min,Max,Mean Abs,StdDev,Minkowski,DMOS,PQR,PSNR

#1.0<1.0 1.0>,0.000000,28.000000,2.804844,2.397710,4.082754,--,--,36.078972,
#2.0<2.0 2.0>,0.000000,33.000000,2.799798,2.437474,4.123642,--,--,36.029766,
#3.0<3.0 3.0>,0.000000,35.000000,2.881940,2.527275,4.266023,--,--,35.746704,
#4.0<4.0 4.0>,0.000000,33.000000,2.837717,2.474865,4.178298,--,--,35.907551,
#5.0<5.0 5.0>,0.000000,29.000000,2.858984,2.498137,4.214196,--,--,35.834980,
#6.0<6.0 6.0>,0.000000,31.000000,2.977052,2.613535,4.403713,--,--,35.465958,
#7.0<7.0 7.0>,0.000000,39.000000,2.867899,2.503897,4.230253,--,--,35.808807,
#8.0<8.0 8.0>,0.000000,32.000000,3.065709,2.692942,4.535509,--,--,35.208206,
#9.0<9.0 9.0>,0.000000,30.000000,3.009320,2.623003,4.437186,--,--,35.395805,
#10.0<10.0 10.0>,0.000000,31.000000,2.962994,2.572006,4.360102,--,--,35.544868,
#11.0<11.0 11.0>,0.000000,36.000000,3.040205,2.633170,4.463833,--,--,35.333687,
#12.0<12.0 12.0>,0.000000,33.000000,2.919155,2.522682,4.282401,--,--,35.693718,
#13.0<13.0 13.0>,0.000000,39.000000,3.079574,2.662056,4.515510,--,--,35.227306,
#14.0<14.0 14.0>,0.000000,34.000000,2.941807,2.538884,4.309458,--,--,35.632431,
#15.0<15.0 15.0>,0.000000,29.000000,2.928118,2.534949,4.300843,--,--,35.658974,
#16.0<16.0 16.0>,0.000000,34.000000,3.049836,2.640074,4.479345,--,--,35.306221,
#17.0<17.0 17.0>,0.000000,34.000000,2.969107,2.569406,4.356182,--,--,35.545639,
#18.0<18.0 18.0>,0.000000,30.000000,3.024978,2.600434,4.425385,--,--,35.401245,
#19.0<19.0 19.0>,0.000000,31.000000,3.291573,2.745750,4.725055,--,--,34.778992,
#20.0<20.0 20.0>,0.000000,31.000000,2.975502,2.552286,4.345759,--,--,35.557686,
