PQA Version:,3.0,
***User Measure,041 HD Broadcast DMOS (no map),
Perceptual Difference Map & DMOS Prediction: Simulated BT.500 interlaced CRT displays & typical viewer's human vision system at a viewing distance of 5.0 screen heights,
Measure Mode:,LuminanceOnly,
Summary Result,Min:,0.000000,Max:,100.000000,
Units,Reference Input:,nits,Impaired Input:,nits,Result Map:,% perceptual contrast,

Command Parameters,
Measure Type:,Dual,
Reference:,E:\rex\original\concerto_720x576_i420_99frames.yuv,
,Rate:,25.000000,Structure:,planar,Format:,YCbYCr4:2:0 Planar,Width:,720,Height:,576,
Impaired :,E:\rex\recon\concertorecon_720x576_i420_99frames.yuv,
,Rate:,25.000000,Structure:,planar,Format:,YCbYCr4:2:0 Planar,Width:,720,Height:,576,
Reference Frame,Start:,1,End:,93,
Impaired Frame,Start:,1,End:,93,

Decoder:,Reference,
,Status:,Enabled,Decoder Type:,YUV,Frame Count:,99.000000,Multiplier:,1.000000,
,Input Spatial ROI:,Left (px):,0,Right (px):,0,Top (px):,0,Bottom (px):,0,

Decoder:,Impaired,
,Status:,Enabled,Decoder Type:,YUV,Frame Count:,99.000000,Multiplier:,1.000000,
,Input Spatial ROI:,Left (px):,0,Right (px):,0,Top (px):,0,Bottom (px):,0,

***Display Model:,
,Optimized for:,accuracy,Operate on:,Dual,

Simulated Reference:,CRT,
Reference CRT:,CustomCrt,
,Max Luma (cd/m^2):,103.000000,Brightness (%Max Lum):,2.300000,Gamma (equivalent):,2.270000,Contrast (%):,100.000000,Aspect Ratio:,1.777000,
,Phosphor Persistence (ms):,10.000000,Field Interlaced:,False,
Custom filename:,Config\DisplayModels\CRT\CrtHdDefault.cfg,

Simulated Impaired:,CRT,
Impaired CRT:,CustomCrt,
,Max Luma (cd/m^2):,103.000000,Brightness (%Max Lum):,2.300000,Gamma:,2.270000,Contrast (%):,100.000000,Aspect Ratio:,1.777000,
,Phosphor Persistence (ms):,10.000000,Field Interlaced:,False,
Custom filename:,Config\DisplayModels\CRT\CrtHdDefault.cfg,

***View Model:,
,Optimized for:,accuracy,Match Resolutions:,Enabled,
Reference:,
,Viewing Distance (Screen Heights):,5.000000,Ambient Luminance (cd/m^2):,2.500000,
,Cropping:,Right (px):,1.000000,Left (px):,1.000000,Top (px):,1.000000,Bottom (px):,1.000000,
,Resized Dimensions:,Width (px):,720,Height (lines):,576,
Impaired:,
,Viewing Distance (Screen Heights):,5.000000,Ambient Luminance (cd/m^2):,2.500000,
,Cropping:,Right (px):,1.000000,Left (px):,1.000000,Top (px):,1.000000,Bottom (px):,1.000000,
,Correction:,Horizontal Shift (px):,0.000000,Vertical Shift (px):,0.000000,Horizontal Scale (%):,100.000000,Vertical Scale (%):,100.000000,Gain (%):,100.000000,DC Brightness (nits):,0.000000,
,Resized Dimensions:,Width (px):,720,Height (lines):,576,

,Spatial Align Optimized for:,accuracy,
,autoRefHorizCrop:,False,autoRefVertCrop:,False,
,autoImpHorizCrop:,False,autoImpVertCrop:,False,
,autoImpHorizScale:,False,autoImpVertScale:,False,
,autoImpHorizShift:,False,autoImpVertShift:,False,
,autoImpLumaGainAndOffset:,False,
,H Scale and Shift Search Range (%):,5.000000,,V Scale and Shift Search Range (%):,5.000000,

***Perceptual Model:,
,Optimized for:,accuracy,Viewer:,Typical,Save Map:,Disabled,
Acuity:,
,Minimum Acuity,0.380000,Lum Sensitivity,0.003000,Area Adaptation,0.115000,Adapt Lum Sensitivity,0.003000,Variance Sensitivity,0.600000,
Speed:,
,Minimum Speed,0.500000,Lum Sensitivity,0.000000,Adaptation Speed,0.250000,Adapt Lum Sensitivity,0.000100,Variance Sensitivity,0.000000,
Masking:,
,Noise Masking,0.025000,Local Lum Adapt,0.100000,Local Lum Mask,0.100000,Local Similarity,9000.000000,Sim Localization,0.900000,
,Variance Masking,0.003000,Area Threshold,0.000075,Area Integration,0.040000,
Overall Sensitivity:,
,Gain,50.000000,

***Summary Information:,
,Save Mode:,Result/Overwrite,
,Results Map View Gain:,45.000000,Results Map View Offset:,20.000000,Display Map As:,Unsigned,
,Perceptual Contrast Units:,As DMOS,
,Warning Level (As DMOS):,20.000000,Error Level (As DMOS):,40.000000,
,Worst Case Sequence Response (% perceptual contrast):,0.482147,
,Output Spatial ROI:,Left (px):,0,Right (px):,0,Top (px):,0,Bottom (px):,0,
,Output Temporal ROI:,Start Frame:,1,End Frame:,93,

***End Section,

Image Processing Client Pipeline:,decoderClient, dispModelClient, viewModelClient, percepDiffClient, summaryClient, server

***Results File Data:,
,Start Frame:,1.000000,Stop Frame:,93.000000,
,Sample Rate (Samples/sec):,25.000000,Sample Time (seconds):,0.040000,
,Number of Result Samples,93,Result maps:,4,
***End Section,

**************************************************************************************************************,

***Frame<Ref Test>,Min,Max,Mean Abs,StdDev,Minkowski,DMOS,PQR,PSNR

#1.0<1.0 1.0>,-0.351401,0.956288,0.004987,0.009881,0.015108,0.140437,--,--,
#2.0<2.0 2.0>,-0.148428,2.667565,0.006046,0.017496,0.034141,0.706873,--,--,
#3.0<3.0 3.0>,-0.915348,4.034492,0.010189,0.038001,0.068669,2.720269,--,--,
#4.0<4.0 4.0>,-1.530582,3.849013,0.021886,0.062923,0.098456,5.267405,--,--,
#5.0<5.0 5.0>,-2.378213,3.309733,0.059084,0.126134,0.173186,15.946987,--,--,
#6.0<6.0 6.0>,-2.993614,3.212706,0.087146,0.169837,0.221547,24.763994,--,--,
#7.0<7.0 7.0>,-3.192483,2.896374,0.088539,0.174964,0.226732,25.742857,--,--,
#8.0<8.0 8.0>,-3.838898,3.048879,0.086039,0.175559,0.228427,26.063938,--,--,
#9.0<9.0 9.0>,-4.137623,3.480941,0.085792,0.177244,0.232619,26.860397,--,--,
#10.0<10.0 10.0>,-3.816892,3.598024,0.085103,0.176088,0.231558,26.658545,--,--,
#11.0<11.0 11.0>,-3.969895,4.677305,0.086808,0.179687,0.234973,27.309128,--,--,
#12.0<12.0 12.0>,-3.216182,4.264723,0.085759,0.177527,0.233073,26.946976,--,--,
#13.0<13.0 13.0>,-4.250503,3.376864,0.085754,0.177473,0.232575,26.851982,--,--,
#14.0<14.0 14.0>,-4.757004,3.563685,0.082389,0.170119,0.223007,25.039150,--,--,
#15.0<15.0 15.0>,-2.726227,2.982581,0.080223,0.166171,0.217485,24.001173,--,--,
#16.0<16.0 16.0>,-3.529305,2.473232,0.081830,0.167310,0.216686,23.851421,--,--,
#17.0<17.0 17.0>,-3.511616,2.914610,0.080580,0.165322,0.215086,23.552090,--,--,
#18.0<18.0 18.0>,-3.716595,2.721654,0.079747,0.165019,0.216230,23.766088,--,--,
#19.0<19.0 19.0>,-4.231850,3.043993,0.085366,0.175065,0.228512,26.080116,--,--,
#20.0<20.0 20.0>,-3.842491,3.763231,0.080559,0.167237,0.219169,24.316942,--,--,
