Tektronix PQA Measurement Log File

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Measurement Name,039 PSNR (no map)
Reference File,\\192.168.40.236/sequences/cif/soccer.cif.yuv
Reference Width,352
Reference Height,288
Impaired File,\\192.168.40.236/sequences/pqa_test_recons/rec_2012_11_06/rec_soccer-3-app-mode-10-RC-fixqp-1.yuv
Impaired Width,352
Impaired Height,288
Start Frame,0
End Frame,29

Ref Frame,Impaired Frame,Min,Max,Mean Abs,Std Dev,Minkowski,DMOS,PQR,PSNR
0.00,0.00,0.000000,1.000000,0.051413,0.220812,0.305090,--,--,60.310665
1.00,1.00,0.000000,1.000000,0.094746,0.292747,0.389605,--,--,57.655735
2.00,2.00,0.000000,2.000000,0.093898,0.291736,0.388385,--,--,57.692059
3.00,3.00,0.000000,2.000000,0.174509,0.379679,0.497794,--,--,54.998768
4.00,4.00,0.000000,2.000000,0.173443,0.379032,0.496579,--,--,55.025333
5.00,5.00,0.000000,1.000000,0.094440,0.292369,0.389102,--,--,57.669773
6.00,6.00,0.000000,1.000000,0.096275,0.294955,0.392108,--,--,57.586208
7.00,7.00,0.000000,2.000000,0.093474,0.291198,0.387564,--,--,57.713539
8.00,8.00,0.000000,2.000000,0.098159,0.297700,0.395334,--,--,57.499424
9.00,9.00,0.000000,2.000000,0.100448,0.300676,0.398877,--,--,57.401100
10.00,10.00,0.000000,2.000000,0.105577,0.307359,0.406955,--,--,57.184029
11.00,11.00,0.000000,2.000000,0.102105,0.302837,0.401608,--,--,57.328369
12.00,12.00,0.000000,2.000000,0.096897,0.295762,0.393177,--,--,57.557381
13.00,13.00,0.000000,2.000000,0.092625,0.290101,0.386213,--,--,57.752205
14.00,14.00,0.000000,2.000000,0.096433,0.295252,0.392483,--,--,57.577320
15.00,15.00,0.000000,2.000000,0.070559,0.256058,0.346417,--,--,58.933395
16.00,16.00,0.000000,2.000000,0.065084,0.246787,0.335341,--,--,59.285271
17.00,17.00,0.000000,1.000000,0.056739,0.231400,0.317361,--,--,59.882519
18.00,18.00,0.000000,2.000000,0.054323,0.226663,0.311966,--,--,60.069981
19.00,19.00,0.000000,2.000000,0.058229,0.234301,0.320826,--,--,59.767036
20.00,20.00,0.000000,1.000000,0.070796,0.256437,0.346739,--,--,58.921280
21.00,21.00,0.000000,1.000000,0.068636,0.252942,0.342468,--,--,59.055862
22.00,22.00,0.000000,1.000000,0.070747,0.256361,0.346643,--,--,58.924305
23.00,23.00,0.000000,1.000000,0.068695,0.253015,0.342586,--,--,59.052120
24.00,24.00,0.000000,1.000000,0.082031,0.274534,0.367783,--,--,58.281563
25.00,25.00,0.000000,1.000000,0.069336,0.254111,0.343861,--,--,59.011772
26.00,26.00,0.000000,2.000000,0.070904,0.256646,0.347022,--,--,58.913418
27.00,27.00,0.000000,1.000000,0.077099,0.266651,0.358773,--,--,58.550861
28.00,28.00,0.000000,1.000000,0.076744,0.266142,0.358111,--,--,58.570911
29.00,29.00,0.000000,1.000000,0.069346,0.254129,0.343881,--,--,59.011154

Overall Sequence, ,0.000000,2.000000,0.086457,0.277280,0.380117,--,--,58.051933

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Measurement Name,041 HD Broadcast DMOS (no map)
Reference File,\\192.168.40.236/sequences/cif/soccer.cif.yuv
Reference Width,352
Reference Height,288
Impaired File,\\192.168.40.236/sequences/pqa_test_recons/rec_2012_11_06/rec_soccer-3-app-mode-10-RC-fixqp-1.yuv
Impaired Width,352
Impaired Height,288
Start Frame,0
End Frame,29

Ref Frame,Impaired Frame,Min,Max,Mean Abs,Std Dev,Minkowski,DMOS,PQR,PSNR
0.00,0.00,-0.048302,0.047129,0.000653,0.001282,0.001795,0.001988,0.041419,--
1.00,1.00,-0.024519,0.043354,0.000768,0.001367,0.001802,0.002006,0.041592,--
2.00,2.00,-0.049993,0.160284,0.001198,0.002470,0.003781,0.008827,0.087260,--
3.00,3.00,-0.125347,0.109232,0.002978,0.005214,0.006858,0.029026,0.158275,--
4.00,4.00,-0.257404,0.207025,0.006677,0.011938,0.015321,0.144413,0.353573,--
5.00,5.00,-0.217112,0.201650,0.007692,0.014312,0.018194,0.203351,0.419886,--
6.00,6.00,-0.143611,0.187151,0.006509,0.012261,0.015583,0.149373,0.359618,--
7.00,7.00,-0.167515,0.170796,0.006075,0.011527,0.014677,0.132574,0.338719,--
8.00,8.00,-0.177284,0.144572,0.006265,0.011878,0.015042,0.139234,0.347154,--
9.00,9.00,-0.201395,0.141805,0.006365,0.012139,0.015387,0.145653,0.355095,--
10.00,10.00,-0.167630,0.199685,0.006575,0.012679,0.016180,0.160993,0.373399,--
11.00,11.00,-0.154014,0.208175,0.006955,0.013542,0.017274,0.183407,0.398660,--
12.00,12.00,-0.174682,0.198561,0.007045,0.013810,0.017636,0.191137,0.407015,--
13.00,13.00,-0.177040,0.226139,0.007040,0.013873,0.017760,0.193824,0.409880,--
14.00,14.00,-0.220680,0.251826,0.007352,0.014680,0.018890,0.219107,0.435937,--
15.00,15.00,-0.174258,0.181338,0.006609,0.013402,0.017333,0.184642,0.400007,--
16.00,16.00,-0.179466,0.200008,0.005605,0.011490,0.014990,0.138275,0.345950,--
17.00,17.00,-0.193281,0.180126,0.005295,0.011095,0.014604,0.131260,0.337031,--
